년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
2001,0(0),0(0),0(0),0(0),1(0),2(0),5(0),6(1),5(0),3(0),1(0),3(0),26(1)
2002,1(0),1(0),0(0),0(0),1(0),3(1),5(2),6(1),4(0),2(0),2(0),1(0),26(4)
2003,1(0),0(0),0(0),1(0),2(1),2(1),2(0),5(1),3(1),3(0),2(0),0(0),21(4)
2004,0(0),0(0),0(0),1(0),2(0),5(1),2(1),8(3),3(0),3(0),3(0),2(0),29(5)
2005,1(0),0(0),1(0),1(0),0(0),1(0),5(0),5(1),5(0),2(0),2(0),0(0),23(1)
2006,0(0),0(0),0(0),0(0),1(0),2(1),2(0),7(1),3(1),4(0),2(0),2(0),23(3)
2007,0(0),0(0),0(0),1(0),1(0),0(0),3(2),4(0),5(1),6(0),4(0),0(0),24(3)
2008,0(0),0(0),0(0),1(0),4(0),1(0),2(1),4(0),5(0),1(0),3(0),1(0),22(1)
2009,0(0),0(0),0(0),0(0),2(0),2(0),2(0),5(0),7(0),3(0),1(0),0(0),22(0)
2010,0(0),0(0),1(0),0(0),0(0),0(0),2(0),5(2),4(1),2(0),0(0),0(0),14(3)
2011,0(0),0(0),0(0),0(0),2(0),3(1),4(1),3(1),7(0),1(0),0(0),1(0),21(3)
2012,0(0),0(0),1(0),0(0),1(0),4(0),4(2),5(2),3(1),5(0),1(0),1(0),25(5)
2013,1(0),1(0),0(0),0(0),0(0),4(1),3(0),6(1),8(0),6(1),2(0),0(0),31(3)
2014,2(0),1(0),0(0),2(0),0(0),2(0),5(3),1(0),5(0),2(1),1(0),2(0),23(4)
2015,1(0),1(0),2(0),1(0),2(0),2(1),4(2),3(1),5(0),4(0),1(0),1(0),27(4)
2016,0(0),0(0),0(0),0(0),0(0),0(0),4(0),7(0),7(2),4(0),3(0),1(0),26(2)
2017,0(0),0(0),0(0),1(0),0(0),1(0),8(2),6(0),3(1),3(0),3(0),2(0),27(3)
2018,1(0),1(0),1(0),0(0),0(0),4(1),5(0),9(2),4(2),1(0),3(0),0(0),29(5)
2019,1(0),1(0),0(0),0(0),0(0),1(0),4(1),5(3),6(3),4(0),6(0),1(0),29(7)
2020,0(0),0(0),0(0),0(0),1(0),1(0),0(0),7(3),4(1),7(0),2(0),1(0),23(4)
2021,0(0),1(0),0(0),1(0),1(0),2(0),3(0),4(2),4(1),4(0),1(0),1(0),22(3)
2022,0(0),0(0),0(0),2(0),0(0),1(0),3(3),5(1),7(1),5(0),1(0),1(0),25(5)
2023,0(0),0(0),0(0),1(0),1(0),1(0),3(1),6(0),2(0),2(0),0(0),1(0),17(1)
2024,0(0),0(0),0(0),0(0),2(0),0(0),2(0),0(0),0(0),0(0),0(0),0(0),4(0)
