년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
2001,0,0,0,0,1,2,5,6,5,3,1,3,26
2002,1,1,0,0,1,3,5,6,4,2,2,1,26
2003,1,0,0,1,2,2,2,5,3,3,2,0,21
2004,0,0,0,1,2,5,2,8,3,3,3,2,29
2005,1,0,1,1,0,1,5,5,5,2,2,0,23
2006,0,0,0,0,1,2,2,7,3,4,2,2,23
2007,0,0,0,1,1,0,3,4,5,6,4,0,24
2008,0,0,0,1,4,1,2,4,5,1,3,1,22
2009,0,0,0,0,2,2,2,5,7,3,1,0,22
2010,0,0,1,0,0,0,2,5,4,2,0,0,14
2011,0,0,0,0,2,3,4,3,7,1,0,1,21
2012,0,0,1,0,1,4,4,5,3,5,1,1,25
2013,1,1,0,0,0,4,3,6,8,6,2,0,31
2014,2,1,0,2,0,2,5,1,5,2,1,2,23
2015,1,1,2,1,2,2,4,3,5,4,1,1,27
2016,0,0,0,0,0,0,4,7,7,4,3,1,26
2017,0,0,0,1,0,1,8,6,3,3,3,2,27
2018,1,1,1,0,0,4,5,9,4,1,3,0,29
2019,1,1,0,0,0,1,4,5,6,4,6,1,29
2020,0,0,0,0,1,1,0,7,4,7,2,1,23
2021,0,1,0,1,1,2,3,4,4,4,1,1,22
2022,0,0,0,2,0,1,3,5,7,5,1,1,25
2023,0,0,0,1,1,1,3,6,2,2,0,1,17
2024,0,0,0,0,2,0,2,0,0,0,0,0,4
